🔍 Verificando videos antes del entrenamiento...
📂 Directorio de videos: /content/drive/MyDrive/LSB_TAD/data/videos
✅ Directorio encontrado
📹 Videos encontrados: 1448

📋 Verificando cada video:
  ✅ TIEMPO.mp4: 67 frames, 1280x720, 30.0 fps
  ✅ MES.mp4: 73 frames, 1280x720, 30.0 fps
  ✅ DIA.mp4: 79 frames, 1280x720, 30.0 fps
  ✅ SEMANA.mp4: 68 frames, 1280x720, 30.0 fps
  ✅ AÑO.mp4: 70 frames, 1280x720, 30.0 fps
  ✅ AYER.mp4: 64 frames, 1280x720, 30.0 fps
  ✅ ANTEAYER.mp4: 82 frames, 1280x720, 30.0 fps
  ✅ HOY.mp4: 50 frames, 1280x720, 30.0 fps
  ✅ AHORA.mp4: 49 frames, 1280x720, 30.0 fps
  ✅ MAÑANA.mp4: 60 frames, 1280x720, 30.0 fps
  ✅ FECHA.mp4: 75 frames, 1280x720, 30.0 fps
  ✅ PASADO_MAÑANA.mp4: 72 frames, 1280x720, 30.0 fps
  ✅ PRONOMBRES.mp4: 88 frames, 1280x720, 30.0 fps
  ✅ TÚ.mp4: 79 frames, 1280x720, 30.0 fps
  ✅ NOSOTROS.mp4: 103 frames, 1280x720, 30.0 fps
  ✅ ÉL.mp4: 81 frames, 1280x720, 30.0 fps
  ✅ USTEDES.mp4: 100 frames, 1280x720, 30.0 fps
  ✅ ELLA.mp4: 91 frames, 1280x720, 30.0 fps
  ✅ NUESTRO.mp4: 96 frames, 1280x720, 30.0 fps
  ✅ ELLOS.mp4: 126 frames, 1280x720, 30.0 fps
  ✅ ELLAS.mp4: 105 frames, 1280x720, 30.0 fps
  ✅ SUYO.mp4: 80 frames, 1280x720, 30.0 fps
  ✅ TUYO.mp4: 82 frames, 1280x720, 30.0 fps
  ✅ MÍO.mp4: 74 frames, 1280x720, 30.0 fps
  ✅ YO.mp4: 78 frames, 1280x720, 30.0 fps
  ✅ CUÁNTOS.mp4: 51 frames, 1280x720, 30.0 fps
  ✅ PREGUNTAS.mp4: 67 frames, 1280x720, 30.0 fps
  ✅ DÓNDE.mp4: 60 frames, 1280x720, 30.0 fps
  ✅ QUÉ.mp4: 50 frames, 1280x720, 30.0 fps
  ✅ CUÁL.mp4: 62 frames, 1280x720, 30.0 fps
  ✅ PARA_QUÉ.mp4: 77 frames, 1280x720, 30.0 fps
  ✅ POR_QUÉ.mp4: 62 frames, 1280x720, 30.0 fps
  ✅ CUÁNDO.mp4: 55 frames, 1280x720, 30.0 fps
  ✅ CÓMO.mp4: 74 frames, 1280x720, 30.0 fps
  ✅ QUIÉN(OPCIÓN_A).mp4: 78 frames, 1280x720, 30.0 fps
  ✅ QUIÉN(OPCIÓN_B).mp4: 69 frames, 1280x720, 30.0 fps
  ✅ SALUDOS.mp4: 60 frames, 1280x720, 30.0 fps
  ✅ HOLA.mp4: 74 frames, 1280x720, 30.0 fps
  ✅ CHAU.mp4: 56 frames, 1280x720, 30.0 fps
  ✅ PERMISO.mp4: 85 frames, 1280x720, 30.0 fps
  ✅ BUENAS_TARDES.mp4: 92 frames, 1280x720, 30.0 fps
  ✅ GRACIAS.mp4: 78 frames, 1280x720, 30.0 fps
  ✅ BUENAS_NOCHES.mp4: 82 frames, 1280x720, 30.0 fps
  ✅ POR_FAVOR.mp4: 93 frames, 1280x720, 30.0 fps
  ✅ CÓMO_ESTÁS.mp4: 95 frames, 1280x720, 30.0 fps
  ✅ ESTOY_BIEN.mp4: 88 frames, 1280x720, 30.0 fps
  ✅ PUEDO.mp4: 56 frames, 1280x720, 30.0 fps
  ✅ NO_PUEDO.mp4: 72 frames, 1280x720, 30.0 fps
  ✅ BUENOS_DÍAS.mp4: 91 frames, 1280x720, 30.0 fps
  ✅ MAL.mp4: 90 frames, 1280x720, 30.0 fps
  ✅ NOMBRE.mp4: 78 frames, 1280x720, 30.0 fps
  ✅ NO.mp4: 67 frames, 1280x720, 30.0 fps
  ✅ LO_SIENTO.mp4: 108 frames, 1280x720, 30.0 fps
  ✅ TE_AMO.mp4: 75 frames, 1280x720, 30.0 fps
  ✅ SÍ.mp4: 76 frames, 1280x720, 30.0 fps
  ✅ MÁS_O_MENOS.mp4: 74 frames, 1280x720, 30.0 fps
  ✅ SUSTANTIVOS.mp4: 96 frames, 1280x720, 30.0 fps
  ✅ MESA.mp4: 102 frames, 1280x720, 30.0 fps
  ✅ SILLA.mp4: 82 frames, 1280x720, 30.0 fps
  ✅ PUERTA.mp4: 72 frames, 1280x720, 30.0 fps
  ✅ TELÉFONO.mp4: 55 frames, 1280x720, 30.0 fps
  ✅ FAX.mp4: 61 frames, 1280x720, 30.0 fps
  ✅ PELOTA.mp4: 84 frames, 1280x720, 30.0 fps
  ✅ TELEVISOR.mp4: 58 frames, 1280x720, 30.0 fps
  ✅ TENEDOR.mp4: 70 frames, 1280x720, 30.0 fps
  ✅ HELADERA.mp4: 106 frames, 1280x720, 30.0 fps
  ✅ CUCHILLO.mp4: 77 frames, 1280x720, 30.0 fps
  ✅ CUCHARA.mp4: 84 frames, 1280x720, 30.0 fps
  ✅ TAZA.mp4: 78 frames, 1280x720, 30.0 fps
  ✅ PLATO.mp4: 91 frames, 1280x720, 30.0 fps
  ✅ CAMA.mp4: 79 frames, 1280x720, 30.0 fps
  ✅ FRAZADA.mp4: 108 frames, 1280x720, 30.0 fps
  ✅ REGLA.mp4: 109 frames, 1280x720, 30.0 fps
  ✅ PAPEL.mp4: 73 frames, 1280x720, 30.0 fps
  ✅ SÁBANA.mp4: 126 frames, 1280x720, 30.0 fps
  ✅ PIZARRA.mp4: 134 frames, 1280x720, 30.0 fps
  ✅ LIBRO.mp4: 98 frames, 1280x720, 30.0 fps
  ✅ LÁPIZ.mp4: 85 frames, 1280x720, 30.0 fps
  ✅ BORRADOR.mp4: 130 frames, 1280x720, 30.0 fps
  ✅ VERDURAS.mp4: 92 frames, 1280x720, 30.0 fps
  ✅ TOMATE.mp4: 80 frames, 1280x720, 30.0 fps
  ✅ CEBOLLA.mp4: 65 frames, 1280x720, 30.0 fps
  ✅ ZANAHORIA.mp4: 53 frames, 1280x720, 30.0 fps
  ✅ PAPA.mp4: 69 frames, 1280x720, 30.0 fps
  ✅ ÁRBOL.mp4: 67 frames, 600x480, 30.0 fps
  ✅ NATURALEZA.mp4: 69 frames, 600x480, 30.0 fps
  ✅ FLOR.mp4: 72 frames, 600x480, 30.0 fps
  ✅ BOSQUE.mp4: 72 frames, 600x480, 30.0 fps
  ✅ PASTO.mp4: 90 frames, 600x480, 30.0 fps
  ✅ PIEDRA.mp4: 95 frames, 600x480, 30.0 fps
  ✅ MAR.mp4: 76 frames, 600x480, 30.0 fps
  ✅ RÍO.mp4: 72 frames, 600x480, 30.0 fps
  ✅ TIERRA.mp4: 108 frames, 600x480, 30.0 fps
  ✅ HOJA.mp4: 88 frames, 600x480, 30.0 fps
  ✅ FRÍO.mp4: 60 frames, 600x480, 30.0 fps
  ✅ CALOR.mp4: 103 frames, 600x480, 30.0 fps
  ✅ CAMPO.mp4: 82 frames, 600x480, 30.0 fps
  ✅ LUNA.mp4: 69 frames, 600x480, 30.0 fps
  ✅ VALLE.mp4: 85 frames, 600x480, 30.0 fps
  ✅ MONTAÑA.mp4: 95 frames, 600x480, 30.0 fps
  ✅ NIEVE.mp4: 156 frames, 600x480, 30.0 fps
  ✅ ESTRELLA.mp4: 78 frames, 600x480, 30.0 fps
  ✅ SOL.mp4: 89 frames, 600x480, 30.0 fps
  ✅ NUBE.mp4: 96 frames, 600x480, 30.0 fps
  ✅ LLUVIA.mp4: 96 frames, 600x480, 30.0 fps
  ✅ CIELO.mp4: 87 frames, 600x480, 30.0 fps
  ✅ VERBOS.mp4: 81 frames, 1280x720, 30.0 fps
  ✅ CAMBIAR.mp4: 88 frames, 1280x720, 30.0 fps
  ✅ CONSTRUIR.mp4: 86 frames, 1280x720, 30.0 fps
  ✅ COCINAR.mp4: 68 frames, 1280x720, 30.0 fps
  ✅ COMPRAR.mp4: 84 frames, 1280x720, 30.0 fps
  ✅ VENDER.mp4: 86 frames, 1280x720, 30.0 fps
  ✅ APRENDER.mp4: 82 frames, 1280x720, 30.0 fps
  ✅ ABRIR.mp4: 77 frames, 1280x720, 30.0 fps
  ✅ HABLAR.mp4: 84 frames, 1280x720, 30.0 fps
  ✅ COMER.mp4: 70 frames, 1280x720, 30.0 fps
  ✅ QUERER.mp4: 77 frames, 1280x720, 30.0 fps
  ✅ DIBUJAR.mp4: 98 frames, 1280x720, 30.0 fps
  ✅ COPIAR.mp4: 78 frames, 1280x720, 30.0 fps
  ✅ PEDIR.mp4: 81 frames, 1280x720, 30.0 fps
  ✅ ESCRIBIR.mp4: 91 frames, 1280x720, 30.0 fps
  ✅ VER.mp4: 95 frames, 1280x720, 30.0 fps
  ✅ PREPARAR.mp4: 95 frames, 1280x720, 30.0 fps
  ✅ VENIR.mp4: 80 frames, 1280x720, 30.0 fps
  ✅ IR.mp4: 80 frames, 1280x720, 30.0 fps
  ✅ PRACTICAR.mp4: 96 frames, 1280x720, 30.0 fps
  ✅ DORMIR.mp4: 92 frames, 1280x720, 30.0 fps
  ✅ PINTAR.mp4: 102 frames, 1280x720, 30.0 fps
  ✅ COMPRENDER.mp4: 83 frames, 1280x720, 30.0 fps
  ✅ ATENDER.mp4: 96 frames, 1280x720, 30.0 fps
  ✅ AYUDAR(OPCIÓN_A).mp4: 96 frames, 1280x720, 30.0 fps
  ✅ AYUDAR(OPCIÓN_B).mp4: 104 frames, 1280x720, 30.0 fps
  ✅ PRESTAR(OPCIÓN_A).mp4: 89 frames, 1280x720, 30.0 fps
  ✅ PRESTAR(OPCIÓN_B).mp4: 92 frames, 1280x720, 30.0 fps
  ✅ MEDIOS_DE_TRANSPORTE.mp4: 89 frames, 600x480, 30.0 fps
  ✅ TREN.mp4: 76 frames, 600x480, 30.0 fps
  ✅ AUTO.mp4: 75 frames, 600x480, 30.0 fps
  ✅ AVIÓN.mp4: 81 frames, 600x480, 30.0 fps
  ✅ FLOTA.mp4: 67 frames, 600x480, 30.0 fps
  ✅ MICRO.mp4: 67 frames, 600x480, 30.0 fps
  ✅ TRUFI.mp4: 71 frames, 600x480, 30.0 fps
  ✅ TAXI.mp4: 81 frames, 600x480, 30.0 fps
  ✅ MOTOCICLETA.mp4: 72 frames, 600x480, 30.0 fps
  ✅ HELICÓPTERO.mp4: 91 frames, 600x480, 30.0 fps
  ✅ BICICLETA.mp4: 80 frames, 600x480, 30.0 fps
  ✅ BARCO.mp4: 79 frames, 600x480, 30.0 fps
  ✅ HOTEL.mp4: 71 frames, 600x480, 30.0 fps
  ✅ LUGARES.mp4: 115 frames, 600x480, 30.0 fps
  ✅ CASA.mp4: 103 frames, 600x480, 30.0 fps
  ✅ CUARTO.mp4: 97 frames, 600x480, 30.0 fps
  ✅ BAÑO.mp4: 73 frames, 600x480, 30.0 fps
  ✅ DORMITORIO.mp4: 114 frames, 600x480, 30.0 fps
  ✅ PLAZA.mp4: 99 frames, 600x480, 30.0 fps
  ✅ ESCUELA.mp4: 102 frames, 600x480, 30.0 fps
